,p,min-quality-score,min-match-score,score
56,0.2,0.2,0.4,0.20163744023818123
57,0.2,0.4,0.4,0.20163744023818123
58,0.2,0.8,0.4,0.20163744023818123
59,0.2,1.0,0.4,0.20163744023818125
60,0.4,0.0,0.4,0.19864705230714466
61,0.4,0.2,0.4,0.19864705230714466
62,0.4,0.4,0.4,0.19864705230714466
63,0.4,0.8,0.4,0.19864705230714466
64,0.4,1.0,0.4,0.1986470523071447
65,0.8,0.0,0.4,0.20134916903950356
66,0.8,0.2,0.4,0.20134916903950356
67,0.8,0.4,0.4,0.20134916903950356
68,0.8,0.8,0.4,0.20134916903950356
69,0.8,1.0,0.4,0.2013491690395036
70,1.0,0.0,0.4,0.22508667220405476
71,1.0,0.2,0.4,0.22508667220405476
72,1.0,0.4,0.4,0.22508667220405476
73,1.0,0.8,0.4,0.22508667220405476
74,1.0,1.0,0.4,0.22768932822153953
75,0.0,0.0,0.8,0.21317910576631066
76,0.0,0.2,0.8,0.21317910576631066
77,0.0,0.4,0.8,0.21317910576631066
78,0.0,0.8,0.8,0.21317910576631066
79,0.0,1.0,0.8,0.21317910576631066
80,0.2,0.0,0.8,0.2126367981200249
81,0.2,0.2,0.8,0.2126367981200249
82,0.2,0.4,0.8,0.2126367981200249
83,0.2,0.8,0.8,0.2126367981200249
84,0.2,1.0,0.8,0.21341503933880374
85,0.4,0.0,0.8,0.2101762719091191
86,0.4,0.2,0.8,0.2101762719091191
87,0.4,0.4,0.8,0.2101762719091191
88,0.4,0.8,0.8,0.2101762719091191
89,0.4,1.0,0.8,0.21267049573668528
90,0.8,0.0,0.8,0.231890168999755
91,0.8,0.2,0.8,0.231890168999755
92,0.8,0.4,0.8,0.231890168999755
93,0.8,0.8,0.8,0.231890168999755
94,0.8,1.0,0.8,0.2261909274636704
95,1.0,0.0,0.8,0.23708303879457582
96,1.0,0.2,0.8,0.23708303879457582
97,1.0,0.4,0.8,0.23708303879457582
98,1.0,0.8,0.8,0.23708303879457582
99,1.0,1.0,0.8,0.21922436066362383
100,0.0,0.0,1.0,0.21317910576631066
101,0.0,0.2,1.0,0.21317910576631066
102,0.0,0.4,1.0,0.21317910576631066
103,0.0,0.8,1.0,0.21317910576631066
104,0.0,1.0,1.0,0.21317910576631066
105,0.2,0.0,1.0,0.20305034193470078
106,0.2,0.2,1.0,0.20305034193470078
107,0.2,0.4,1.0,0.20305034193470078
108,0.2,0.8,1.0,0.20305034193470078
109,0.2,1.0,1.0,0.20139819346587978
110,0.4,0.0,1.0,0.20305034193470078
111,0.4,0.2,1.0,0.20305034193470078
112,0.4,0.4,1.0,0.20305034193470078
113,0.4,0.8,1.0,0.20305034193470078
114,0.4,1.0,1.0,0.20139819346587978
115,0.8,0.0,1.0,0.20305034193470078
116,0.8,0.2,1.0,0.20305034193470078
117,0.8,0.4,1.0,0.20305034193470078
118,0.8,0.8,1.0,0.20305034193470078
119,0.8,1.0,1.0,0.20139819346587978
120,1.0,0.0,1.0,0.23466550507459183
121,1.0,0.2,1.0,0.23466550507459183
122,1.0,0.4,1.0,0.23466550507459183
123,1.0,0.8,1.0,0.23466550507459183
124,1.0,1.0,1.0,0.21680682694363987
